datetime,deviceid,devicetype,readingtype,readingvalue
2023-07-14 12:32:13.949443,9360,Light,Humidity,38.34
2023-07-14 12:32:13.949443,4317,Thermostat,Motion,48.2
2023-07-15 12:32:13.949443,6339,Thermostat,Humidity,28.66
2023-07-18 12:32:13.949443,4682,Camera,Light,52.11
2023-07-19 12:32:13.949443,8022,Light,Motion,21.21
2023-07-19 12:32:13.949443,6003,Sensor,Motion,30.98
2023-07-22 12:32:13.949443,9018,Sensor,Temperature,64.45
2023-07-23 12:32:13.949443,4571,Camera,Light,46.48
2023-07-23 12:32:13.949443,5704,Camera,Temperature,62.46
2023-07-24 12:32:13.949443,2583,Camera,Humidity,34.33
2023-07-25 12:32:13.949443,8412,Light,Motion,78.66
2023-07-25 12:32:13.949443,9173,Thermostat,Motion,95.07
2023-07-26 12:32:13.949443,5235,Camera,Light,79.25
2023-07-26 12:32:13.949443,8908,Sensor,Motion,76.45
2023-07-27 12:32:13.949443,4341,Sensor,Motion,12.36
2023-07-27 12:32:13.949443,7118,Light,Motion,78.96
2023-07-27 12:32:13.949443,5537,Light,Light,24.13
2023-07-27 12:32:13.949443,2576,Thermostat,Light,54.64
2023-07-28 12:32:13.949443,2223,Thermostat,Motion,49.21
2023-07-28 12:32:13.949443,5879,Light,Temperature,71.04
2023-07-31 12:32:13.949443,3510,Camera,Light,23.62
2023-08-01 12:32:13.949443,8525,Light,Light,30.44
2023-08-01 12:32:13.949443,9503,Camera,Motion,35.41
2023-08-01 12:32:13.949443,9150,Light,Temperature,92.17
2023-08-01 12:32:13.949443,4978,Thermostat,Temperature,44.69
2023-08-02 12:32:13.949443,1809,Light,Humidity,66.15
2023-08-02 12:32:13.949443,6940,Camera,Motion,94.42
2023-08-04 12:32:13.949443,7152,Sensor,Motion,60.96
2023-08-04 12:32:13.949443,4360,Thermostat,Humidity,32.56
2023-08-06 12:32:13.949443,7049,Sensor,Light,62.64
2023-08-06 12:32:13.949443,5997,Light,Humidity,54.15
2023-08-07 12:32:13.949443,1172,Camera,Temperature,24.78
2023-08-07 12:32:13.949443,2367,Light,Light,66.49
2023-08-08 12:32:13.949443,8831,Sensor,Motion,66.41
2023-08-08 12:32:13.949443,4464,Light,Light,86.62
2023-08-08 12:32:13.949443,1228,Sensor,Light,85.8
2023-08-09 12:32:13.949443,2525,Sensor,Humidity,44.04
2023-08-09 12:32:13.949443,8684,Thermostat,Temperature,11.87
2023-08-10 12:32:13.949443,3130,Light,Temperature,99.13
2023-08-11 12:32:13.949443,1113,Light,Humidity,78.67
2023-08-11 12:32:13.949443,8069,Light,Humidity,89.84
2023-08-11 12:32:13.949443,1734,Camera,Motion,34.91
2023-08-17 12:32:13.949443,4409,Light,Humidity,36.65
2023-08-18 12:32:13.949443,3742,Camera,Motion,86.77
2023-08-19 12:32:13.949443,3058,Camera,Humidity,36.78
2023-08-21 12:32:13.949443,3598,Light,Light,52.51
2023-08-22 12:32:13.949443,1957,Sensor,Light,83.84
2023-08-22 12:32:13.949443,1681,Sensor,Light,61.02
2023-08-22 12:32:13.949443,7717,Camera,Temperature,43.45
2023-08-22 12:32:13.949443,2774,Light,Light,13.26
2023-08-23 12:32:13.949443,7531,Camera,Humidity,49.07
2023-08-23 12:32:13.949443,5963,Thermostat,Humidity,31.34
2023-08-23 12:32:13.949443,6991,Sensor,Humidity,98.64
2023-08-23 12:32:13.949443,3281,Thermostat,Light,58.77
2023-08-25 12:32:13.949443,7787,Camera,Motion,85.84
2023-08-26 12:32:13.949443,7344,Light,Motion,58.41
2023-08-26 12:32:13.949443,1829,Thermostat,Temperature,29.57
2023-08-30 12:32:13.949443,6105,Camera,Motion,38.45
2023-08-31 12:32:13.949443,4808,Light,Temperature,87.44
2023-09-05 12:32:13.949443,1418,Light,Light,24.23
2023-09-07 12:32:13.949443,2832,Sensor,Humidity,26.89
2023-09-08 12:32:13.949443,7793,Camera,Humidity,67.55
2023-09-09 12:32:13.949443,7632,Light,Light,45.2
2023-09-10 12:32:13.949443,7473,Camera,Temperature,95.91
2023-09-11 12:32:13.949443,6691,Thermostat,Motion,56.31
2023-09-14 12:32:13.949443,8690,Camera,Temperature,90.75
2023-09-15 12:32:13.949443,4791,Light,Motion,11.25
2023-09-15 12:32:13.949443,4382,Thermostat,Motion,74.25
2023-09-18 12:32:13.949443,6479,Sensor,Motion,83.01
2023-09-20 12:32:13.949443,2529,Light,Temperature,15.23
2023-09-22 12:32:13.949443,6712,Light,Temperature,77.6
2023-09-22 12:32:13.949443,4398,Camera,Humidity,95.76
2023-09-23 12:32:13.949443,2430,Sensor,Humidity,39.37
2023-09-26 12:32:13.949443,2969,Thermostat,Light,38.17
2023-09-28 12:32:13.949443,9545,Camera,Temperature,15.33
2023-09-29 12:32:13.949443,3732,Thermostat,Humidity,65.9
2023-10-01 12:32:13.949443,4362,Light,Light,40.51
2023-10-01 12:32:13.949443,8795,Light,Temperature,55.24
2023-10-03 12:32:13.949443,4067,Thermostat,Motion,56.39
2023-10-05 12:32:13.949443,8049,Thermostat,Light,36.28
2023-10-06 12:32:13.949443,7162,Thermostat,Humidity,80.73
2023-10-07 12:32:13.949443,7777,Sensor,Humidity,69.13
2023-10-07 12:32:13.949443,8573,Light,Motion,13.29
2023-10-08 12:32:13.949443,3148,Sensor,Temperature,82.89
2023-10-08 12:32:13.949443,3924,Sensor,Temperature,67.04
2023-10-10 12:32:13.949443,7633,Light,Light,80.7
2023-10-10 12:32:13.949443,5848,Camera,Light,81.53
2023-10-11 12:32:13.949443,6407,Sensor,Light,64.12
2023-10-11 12:32:13.949443,4630,Sensor,Humidity,67.97
2023-10-12 12:32:13.949443,7629,Camera,Light,20.76
2023-10-14 12:32:13.949443,2148,Sensor,Motion,98.93
2023-10-16 12:32:13.949443,2658,Camera,Motion,87.0
2023-10-17 12:32:13.949443,6150,Light,Humidity,66.36
2023-10-18 12:32:13.949443,2046,Camera,Motion,30.38
2023-10-19 12:32:13.949443,4169,Thermostat,Temperature,64.97
2023-10-22 12:32:13.949443,4126,Sensor,Temperature,63.77
2023-10-22 12:32:13.949443,7098,Light,Light,68.2
2023-10-23 12:32:13.949443,2506,Thermostat,Temperature,24.75
2023-10-24 12:32:13.949443,8851,Camera,Humidity,60.65
2023-10-24 12:32:13.949443,1834,Thermostat,Humidity,68.29
2023-10-25 12:32:13.949443,9703,Thermostat,Light,76.79
2023-10-25 12:32:13.949443,4168,Light,Motion,17.43
2023-10-28 12:32:13.949443,7759,Thermostat,Motion,54.52
2023-10-28 12:32:13.949443,1320,Light,Humidity,87.42
2023-10-29 12:32:13.949443,5338,Camera,Motion,38.08
2023-10-30 12:32:13.949443,8209,Light,Temperature,95.06
2023-10-31 12:32:13.949443,5513,Light,Temperature,23.44
2023-10-31 12:32:13.949443,2081,Sensor,Humidity,22.64
2023-10-31 12:32:13.949443,7748,Thermostat,Humidity,50.73
2023-11-01 12:32:13.949443,4001,Thermostat,Humidity,30.18
2023-11-03 12:32:13.949443,2291,Camera,Humidity,75.6
2023-11-05 12:32:13.949443,6563,Sensor,Temperature,26.56
2023-11-06 12:32:13.949443,9117,Camera,Light,99.22
2023-11-07 12:32:13.949443,1518,Thermostat,Motion,80.95
2023-11-07 12:32:13.949443,5945,Sensor,Temperature,92.55
2023-11-07 12:32:13.949443,6559,Sensor,Humidity,62.87
2023-11-09 12:32:13.949443,9905,Thermostat,Light,67.08
2023-11-09 12:32:13.949443,8072,Light,Humidity,43.26
2023-11-10 12:32:13.949443,1424,Thermostat,Light,80.9
2023-11-10 12:32:13.949443,5359,Camera,Motion,19.85
2023-11-11 12:32:13.949443,7753,Light,Temperature,27.21
2023-11-11 12:32:13.949443,3580,Sensor,Light,76.17
2023-11-11 12:32:13.949443,7885,Sensor,Motion,46.2
2023-11-12 12:32:13.949443,1797,Camera,Temperature,82.12
2023-11-14 12:32:13.949443,9535,Thermostat,Light,60.53
2023-11-14 12:32:13.949443,8291,Sensor,Temperature,87.6
2023-11-15 12:32:13.949443,3266,Thermostat,Motion,56.58
2023-11-16 12:32:13.949443,5855,Camera,Temperature,28.39
2023-11-16 12:32:13.949443,7823,Thermostat,Humidity,44.37
2023-11-17 12:32:13.949443,4951,Thermostat,Motion,30.91
2023-11-19 12:32:13.949443,5675,Camera,Light,38.33
2023-11-20 12:32:13.949443,9851,Sensor,Motion,19.15
2023-11-22 12:32:13.949443,9756,Camera,Temperature,15.76
2023-11-25 12:32:13.949443,7293,Thermostat,Motion,92.82
2023-11-27 12:32:13.949443,9751,Light,Temperature,46.42
2023-11-28 12:32:13.949443,6870,Sensor,Temperature,70.27
2023-11-28 12:32:13.949443,1475,Sensor,Humidity,40.11
2023-11-30 12:32:13.949443,8940,Light,Light,14.69
2023-12-02 12:32:13.949443,1395,Camera,Humidity,60.72
2023-12-02 12:32:13.949443,7779,Sensor,Temperature,53.48
2023-12-02 12:32:13.949443,7817,Light,Temperature,82.93
2023-12-03 12:32:13.949443,8665,Light,Humidity,54.57
2023-12-04 12:32:13.949443,6511,Sensor,Humidity,99.9
2023-12-05 12:32:13.949443,1837,Light,Humidity,92.78
2023-12-06 12:32:13.949443,7211,Light,Humidity,41.14
2023-12-06 12:32:13.949443,9900,Sensor,Humidity,35.11
2023-12-06 12:32:13.949443,3196,Thermostat,Temperature,26.81
2023-12-07 12:32:13.949443,2928,Thermostat,Temperature,21.11
2023-12-10 12:32:13.949443,9484,Sensor,Humidity,62.61
2023-12-11 12:32:13.949443,6825,Light,Motion,64.7
2023-12-11 12:32:13.949443,1993,Light,Temperature,48.13
2023-12-13 12:32:13.949443,7346,Light,Light,63.22
2023-12-14 12:32:13.949443,7991,Sensor,Motion,77.97
2023-12-14 12:32:13.949443,5023,Sensor,Light,84.91
2023-12-15 12:32:13.949443,6344,Light,Light,80.32
2023-12-17 12:32:13.949443,2147,Camera,Light,50.08
2023-12-20 12:32:13.949443,9550,Thermostat,Humidity,44.06
2023-12-20 12:32:13.949443,7099,Sensor,Humidity,83.66
2023-12-21 12:32:13.949443,4295,Thermostat,Light,48.71
2023-12-22 12:32:13.949443,9734,Thermostat,Humidity,87.09
2023-12-22 12:32:13.949443,5196,Sensor,Temperature,77.28
2023-12-22 12:32:13.949443,1263,Thermostat,Humidity,70.28
2023-12-22 12:32:13.949443,4032,Light,Humidity,39.26
2023-12-22 12:32:13.949443,2760,Light,Motion,77.21
2023-12-24 12:32:13.949443,6217,Thermostat,Light,75.08
2023-12-24 12:32:13.949443,8088,Light,Motion,50.22
2023-12-25 12:32:13.949443,1314,Sensor,Humidity,65.89
2023-12-25 12:32:13.949443,6506,Light,Temperature,71.44
2023-12-26 12:32:13.949443,6255,Light,Humidity,76.9
2023-12-29 12:32:13.949443,6304,Light,Motion,47.12
2023-12-30 12:32:13.949443,5418,Light,Temperature,40.11
2023-12-30 12:32:13.949443,8359,Camera,Temperature,90.07
2023-12-31 12:32:13.949443,6781,Light,Humidity,29.47
2024-01-01 12:32:13.949443,9688,Light,Humidity,79.68
2024-01-01 12:32:13.949443,4258,Sensor,Motion,22.1
2024-01-01 12:32:13.949443,2937,Thermostat,Motion,89.42
2024-01-02 12:32:13.949443,3123,Sensor,Humidity,83.64
2024-01-05 12:32:13.949443,4317,Light,Motion,82.35
2024-01-05 12:32:13.949443,5084,Sensor,Humidity,58.28
2024-01-06 12:32:13.949443,8132,Thermostat,Temperature,75.84
2024-01-10 12:32:13.949443,3345,Camera,Motion,34.79
2024-01-11 12:32:13.949443,2769,Sensor,Light,60.27
2024-01-11 12:32:13.949443,2484,Sensor,Motion,46.64
2024-01-13 12:32:13.949443,3908,Camera,Light,75.14
2024-01-13 12:32:13.949443,5651,Sensor,Temperature,67.09
2024-01-13 12:32:13.949443,5389,Thermostat,Light,26.38
2024-01-13 12:32:13.949443,6068,Thermostat,Humidity,70.95
2024-01-15 12:32:13.949443,5058,Thermostat,Temperature,48.26
2024-01-16 12:32:13.949443,8564,Camera,Light,90.06
2024-01-16 12:32:13.949443,7096,Thermostat,Motion,12.35
2024-01-19 12:32:13.949443,5121,Light,Motion,82.02
2024-01-20 12:32:13.949443,3922,Camera,Light,89.93
2024-01-20 12:32:13.949443,9919,Light,Humidity,85.25
2024-01-22 12:32:13.949443,3747,Light,Humidity,35.92
2024-01-23 12:32:13.949443,7272,Thermostat,Temperature,42.66
2024-01-23 12:32:13.949443,1438,Light,Light,95.18
2024-01-23 12:32:13.949443,7454,Thermostat,Motion,72.95
2024-01-23 12:32:13.949443,8432,Sensor,Humidity,27.37
2024-01-24 12:32:13.949443,8391,Sensor,Motion,69.84
2024-01-26 12:32:13.949443,8465,Sensor,Light,52.54
2024-01-26 12:32:13.949443,5200,Camera,Humidity,60.09
2024-01-27 12:32:13.949443,5941,Sensor,Temperature,68.4
2024-01-28 12:32:13.949443,5299,Camera,Temperature,67.66
2024-01-29 12:32:13.949443,9203,Sensor,Temperature,50.69
2024-01-29 12:32:13.949443,8981,Sensor,Humidity,32.8
2024-01-30 12:32:13.949443,2846,Thermostat,Humidity,40.54
2024-01-30 12:32:13.949443,8626,Camera,Humidity,41.07
2024-01-31 12:32:13.949443,2780,Thermostat,Humidity,77.41
2024-01-31 12:32:13.949443,1954,Light,Temperature,61.95
2024-02-02 12:32:13.949443,7767,Thermostat,Temperature,37.77
2024-02-02 12:32:13.949443,7772,Thermostat,Humidity,29.99
2024-02-03 12:32:13.949443,3805,Thermostat,Motion,26.39
2024-02-07 12:32:13.949443,2004,Camera,Light,54.52
2024-02-09 12:32:13.949443,5377,Light,Motion,99.04
2024-02-11 12:32:13.949443,9725,Sensor,Motion,19.75
2024-02-11 12:32:13.949443,8801,Camera,Humidity,21.1
2024-02-11 12:32:13.949443,8946,Camera,Light,34.1
2024-02-12 12:32:13.949443,8502,Camera,Temperature,32.61
2024-02-14 12:32:13.949443,7292,Thermostat,Humidity,17.83
2024-02-14 12:32:13.949443,6344,Camera,Motion,51.43
2024-02-18 12:32:13.949443,4846,Thermostat,Humidity,61.08
2024-02-19 12:32:13.949443,1703,Thermostat,Humidity,16.82
2024-02-19 12:32:13.949443,8291,Sensor,Motion,31.98
2024-02-19 12:32:13.949443,7868,Camera,Humidity,82.06
2024-02-19 12:32:13.949443,8674,Sensor,Motion,76.11
2024-02-20 12:32:13.949443,6725,Light,Light,36.18
2024-02-23 12:32:13.949443,6355,Thermostat,Light,81.15
2024-02-24 12:32:13.949443,6197,Sensor,Light,58.37
2024-02-24 12:32:13.949443,3405,Camera,Light,98.01
2024-02-26 12:32:13.949443,7028,Thermostat,Light,51.08
2024-02-27 12:32:13.949443,8738,Camera,Motion,50.26
2024-02-27 12:32:13.949443,9264,Light,Motion,15.06
2024-02-28 12:32:13.949443,3836,Sensor,Motion,51.93
2024-02-29 12:32:13.949443,8371,Thermostat,Temperature,43.18
2024-02-29 12:32:13.949443,8276,Camera,Temperature,41.05
2024-03-01 12:32:13.949443,3831,Sensor,Temperature,85.55
2024-03-01 12:32:13.949443,9776,Sensor,Light,72.16
2024-03-01 12:32:13.949443,4675,Thermostat,Temperature,39.74
2024-03-02 12:32:13.949443,9143,Sensor,Motion,87.11
2024-03-02 12:32:13.949443,5060,Thermostat,Light,73.02
2024-03-02 12:32:13.949443,6699,Sensor,Humidity,49.44
2024-03-03 12:32:13.949443,7513,Light,Motion,73.72
2024-03-04 12:32:13.949443,6733,Sensor,Light,47.95
2024-03-04 12:32:13.949443,1450,Light,Humidity,81.5
2024-03-05 12:32:13.949443,4914,Sensor,Motion,95.33
2024-03-07 12:32:13.949443,6035,Light,Humidity,66.9
2024-03-07 12:32:13.949443,6773,Thermostat,Humidity,84.63
2024-03-08 12:32:13.949443,6778,Thermostat,Humidity,52.56
2024-03-09 12:32:13.949443,4115,Sensor,Light,35.67
2024-03-09 12:32:13.949443,3939,Sensor,Light,51.01
2024-03-12 12:32:13.949443,7511,Thermostat,Humidity,36.01
2024-03-12 12:32:13.949443,2219,Camera,Light,73.64
2024-03-14 12:32:13.949443,4349,Thermostat,Humidity,47.81
2024-03-15 12:32:13.949443,6677,Camera,Light,58.5
2024-03-15 12:32:13.949443,9899,Light,Motion,24.64
2024-03-17 12:32:13.949443,2791,Sensor,Humidity,20.65
2024-03-18 12:32:13.949443,9889,Thermostat,Humidity,25.68
2024-03-20 12:32:13.949443,8667,Sensor,Light,83.52
2024-03-22 12:32:13.949443,1193,Thermostat,Motion,95.29
2024-03-23 12:32:13.949443,1249,Light,Humidity,93.14
2024-03-24 12:32:13.949443,5031,Light,Humidity,88.58
2024-03-26 12:32:13.949443,5533,Camera,Humidity,23.76
2024-03-27 12:32:13.949443,1560,Camera,Humidity,57.44
2024-03-28 12:32:13.949443,2373,Thermostat,Humidity,52.61
2024-03-29 12:32:13.949443,4991,Thermostat,Humidity,25.78
2024-03-31 12:32:13.949443,5845,Sensor,Motion,26.02
2024-03-31 12:32:13.949443,7023,Light,Temperature,86.16
2024-03-31 12:32:13.949443,4928,Thermostat,Humidity,80.04
2024-04-02 12:32:13.949443,2194,Sensor,Light,63.06
2024-04-03 12:32:13.949443,6765,Thermostat,Temperature,32.92
2024-04-03 12:32:13.949443,6365,Sensor,Humidity,73.33
2024-04-04 12:32:13.949443,9096,Light,Motion,39.99
2024-04-04 12:32:13.949443,7568,Camera,Motion,78.96
2024-04-05 12:32:13.949443,1994,Camera,Temperature,74.86
2024-04-05 12:32:13.949443,3695,Sensor,Humidity,66.28
2024-04-05 12:32:13.949443,4796,Light,Light,42.68
2024-04-06 12:32:13.949443,9236,Camera,Humidity,98.17
2024-04-06 12:32:13.949443,9696,Sensor,Temperature,34.7
2024-04-06 12:32:13.949443,3018,Light,Light,79.61
2024-04-09 12:32:13.949443,3310,Thermostat,Humidity,30.43
2024-04-18 12:32:13.949443,6587,Light,Temperature,44.98
2024-04-20 12:32:13.949443,5653,Sensor,Temperature,73.45
2024-04-22 12:32:13.949443,3668,Light,Motion,46.5
2024-04-22 12:32:13.949443,5622,Sensor,Humidity,18.81
2024-04-24 12:32:13.949443,4586,Sensor,Humidity,37.88
2024-04-28 12:32:13.949443,7987,Thermostat,Humidity,33.25
2024-04-28 12:32:13.949443,1940,Thermostat,Motion,49.85
2024-04-30 12:32:13.949443,4568,Camera,Light,30.98
2024-05-03 12:32:13.949443,9766,Camera,Light,69.13
2024-05-03 12:32:13.949443,8001,Light,Motion,64.74
2024-05-06 12:32:13.949443,4275,Light,Temperature,49.25
2024-05-06 12:32:13.949443,8449,Light,Temperature,68.84
2024-05-06 12:32:13.949443,5386,Light,Light,16.16
2024-05-07 12:32:13.949443,6816,Thermostat,Motion,81.01
2024-05-09 12:32:13.949443,2529,Light,Humidity,46.65
2024-05-10 12:32:13.949443,3776,Light,Motion,24.28
2024-05-10 12:32:13.949443,6428,Thermostat,Temperature,65.86
2024-05-14 12:32:13.949443,9716,Sensor,Temperature,64.06
2024-05-14 12:32:13.949443,3869,Light,Humidity,95.85
2024-05-15 12:32:13.949443,4323,Light,Humidity,85.76
2024-05-16 12:32:13.949443,4806,Camera,Temperature,14.83
2024-05-16 12:32:13.949443,5219,Thermostat,Motion,82.34
2024-05-17 12:32:13.949443,4438,Sensor,Temperature,22.5
2024-05-18 12:32:13.949443,7037,Sensor,Humidity,87.17
2024-05-18 12:32:13.949443,8274,Sensor,Humidity,67.9
2024-05-21 12:32:13.949443,9346,Thermostat,Humidity,55.94
2024-05-22 12:32:13.949443,8870,Light,Temperature,25.93
2024-05-23 12:32:13.949443,9387,Thermostat,Motion,77.08
2024-05-25 12:32:13.949443,2890,Camera,Motion,57.8
2024-05-25 12:32:13.949443,2483,Light,Motion,60.73
2024-05-25 12:32:13.949443,9562,Camera,Humidity,74.25
2024-05-26 12:32:13.949443,4881,Thermostat,Temperature,21.66
2024-05-26 12:32:13.949443,3562,Light,Light,79.26
2024-05-27 12:32:13.949443,7840,Light,Motion,97.15
2024-05-27 12:32:13.949443,2710,Sensor,Light,26.2
2024-05-27 12:32:13.949443,2600,Thermostat,Temperature,94.79
